feature,importance_gain
EXT_SOURCES_MEAN,82.63467407226562
MISSED_INSTALMENTS,61.85297775268555
MISSED_RATE,43.58251953125
EXT_SOURCES_GEOM_MEAN,42.29375457763672
CREDIT_INCOME_PERCENT,38.31072235107422
EXT_SOURCES_MAX,35.26327133178711
EXT_SOURCES_NAN_COUNT,31.2423038482666
AMT_REQ_CREDIT_BUREAU_YEAR,27.783763885498047
EXT_SOURCE_2,25.887773513793945
NAME_INCOME_TYPE_Working,24.82200050354004
NAME_EDUCATION_TYPE_Incomplete higher,24.351293563842773
NAME_EDUCATION_TYPE_Higher education,24.236011505126953
EXT_SOURCE_3,24.00027084350586
DEF_30_CNT_SOCIAL_CIRCLE,23.83141326904297
NAME_EDUCATION_TYPE_Secondary / secondary special,23.711584091186523
ANNUITY_INCOME_PERCENT,22.696409225463867
BUREAU_ACTIVE_COUNT,21.936325073242188
NAME_FAMILY_STATUS_Single / not married,20.90717315673828
NAME_CONTRACT_TYPE_Cash loans,20.48915672302246
NAME_FAMILY_STATUS_Civil marriage,20.12247657775879
EXT_SOURCE_1,20.040245056152344
NAME_FAMILY_STATUS_Separated,19.725341796875
NAME_CONTRACT_TYPE_Revolving loans,19.604511260986328
EXT2_CREDIT_INTERACTION,19.508066177368164
CNT_CHILDREN,19.419113159179688
DAYS_EMPLOYED_ANOM,19.3499755859375
AMT_GOODS_PRICE,19.248306274414062
ORGANIZATION_TYPE_Security,19.204492568969727
NAME_INCOME_TYPE_Pensioner,19.18143081665039
NAME_FAMILY_STATUS_Widow,19.1555233001709
OWN_CAR_AGE,19.145408630371094
OBS_30_CNT_SOCIAL_CIRCLE,19.09388542175293
AGE_YEARS,18.707399368286133
NAME_INCOME_TYPE_Unemployed,18.644929885864258
EXT_SOURCES_MIN,18.60211181640625
AMT_CREDIT,18.51921272277832
AMT_ANNUITY,18.36615562438965
NAME_EDUCATION_TYPE_Lower secondary,18.292268753051758
NAME_HOUSING_TYPE_With parents,18.050199508666992
ORGANIZATION_TYPE_Business Entity Type 3,17.8385066986084
NAME_HOUSING_TYPE_House / apartment,17.814495086669922
DAYS_EMPLOYED_CLEANED,17.790241241455078
INCOME_PER_PERSON,17.788963317871094
DAYS_EMPLOYED_PERCENT,17.595016479492188
GOODS_CREDIT_RATIO,17.588491439819336
BUREAU_OVERDUE_PER_ACTIVE,17.576967239379883
ORGANIZATION_TYPE_Self-employed,17.484922409057617
NAME_HOUSING_TYPE_Municipal apartment,17.48476219177246
BUREAU_OVERDUE_DAYS,17.390602111816406
DAYS_LAST_PHONE_CHANGE,17.385005950927734
CREDIT_TERM,17.320175170898438
CNT_FAM_MEMBERS,17.220670700073242
ORGANIZATION_TYPE_Transport: type 3,17.11857032775879
DAYS_BIRTH,17.020750045776367
NAME_HOUSING_TYPE_Office apartment,16.913196563720703
INSTALMENT_PAYMENT_DIFF,16.878189086914062
NAME_INCOME_TYPE_State servant,16.846254348754883
FLAG_OWN_REALTY_Y,16.813322067260742
REGION_RATING_CLIENT,16.649126052856445
ORGANIZATION_TYPE_Government,16.61467933654785
NAME_INCOME_TYPE_Commercial associate,16.397605895996094
AMT_INCOME_TOTAL,16.359359741210938
ORGANIZATION_TYPE_Industry: type 11,16.323434829711914
ORGANIZATION_TYPE_Business Entity Type 2,16.17489242553711
ORGANIZATION_TYPE_Construction,16.061145782470703
FLAG_OWN_REALTY_N,16.055355072021484
PREV_APPLICATIONS_COUNT,15.936988830566406
FLAG_EMAIL,15.75594711303711
FLAG_OWN_CAR_N,15.694842338562012
FLAG_OWN_CAR_Y,15.69256591796875
NAME_FAMILY_STATUS_Married,15.603772163391113
ORGANIZATION_TYPE_School,15.448681831359863
FLAG_WORK_PHONE,15.138447761535645
CODE_GENDER_F,15.082734107971191
ORGANIZATION_TYPE_Medicine,14.685091018676758
REGION_RATING_CLIENT_W_CITY,14.590764999389648
CODE_GENDER_M,14.280229568481445
NAME_HOUSING_TYPE_Rented apartment,13.517850875854492
NAME_HOUSING_TYPE_Co-op apartment,12.131227493286133
